,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
114,SH600000,0.0219337252610785,0.6666666666666666,0.008725643,0.013208082103119516,0.013208082103119516,SH600000,浦发银行,2026-03-13,4.3340654,4.388641
115,SH600809,0.0191848108512433,0.6666666666666666,0.0,0.0191848108512433,0.0191848108512433,SH600809,山西汾酒,2026-03-13,111.28044,112.6371
116,SZ002601,0.0188808726149603,0.6666666666666666,-0.0042700768,0.023150949366669286,0.023150949366669286,,,2026-03-13,0.24879311,0.25405136
117,SH601628,0.0182766261547983,0.3333333333333333,0.0148278475,0.003448778674024374,0.003448778674024374,SH601628,中国人寿,2026-03-13,0.05028585,0.05189671
118,SZ300896,0.0174581736274253,0.3333333333333333,-0.00089377165,0.018351945275832282,0.018351945275832282,,,2026-03-13,0.008750757,0.008855698
119,SH600489,0.01735450808721,0.3333333333333333,-0.0013557076,0.01871021573262626,0.01871021573262626,SH600489,中金黄金,2026-03-13,66.889336,68.438866
120,SH601225,0.0171652563554921,1.0,-0.013965845,0.031131101463524328,0.031131101463524328,SH601225,陕西煤业,2026-03-13,3.7950988,3.8048446
121,SH603392,0.0170671541627388,0.3333333333333333,0.0012784004,0.01578875374159622,0.01578875374159622,SH603392,万泰生物,2026-03-13,2.135753,2.1885626
122,SH601058,0.0168272250755684,0.6666666666666666,-0.00064378977,0.017471014843787394,0.017471014843787394,SH601058,赛轮轮胎,2026-03-13,4.3215995,4.3813343
123,SZ001965,0.0168198217421674,0.6666666666666666,0.0,0.0168198217421674,0.0168198217421674,,,2026-03-13,0.1388959,0.14025098
124,SZ000858,0.0164853147002738,0.6666666666666666,0.002394557,0.014090757701067259,0.014090757701067259,,,2026-03-13,20.009989,20.25512
125,SH601236,0.0154677161044833,0.6666666666666666,0.004171014,0.011296702272391015,0.011296702272391015,SH601236,红塔证券,2026-03-13,0.46123523,0.46910372
126,SH600039,0.0153904596440515,1.0,-0.018899202,0.03428966199085326,0.03428966199085326,SH600039,四川路桥,2026-03-13,25.423513,25.60092
127,SZ000301,0.0149408627652735,0.3333333333333333,-0.006268382,0.02120924483772223,0.02120924483772223,,,2026-03-13,0.37083855,0.37301952
128,SH601012,0.0144712552147275,1.0,0.005888939,0.008582316310918906,0.008582316310918906,SH601012,隆基绿能,2026-03-13,18.63547,19.383692
129,SZ002252,0.0143862783016099,0.3333333333333333,0.0,0.0143862783016099,0.0143862783016099,,,2026-03-13,8.950303,9.036779
130,SH688303,0.0141761163135983,0.6666666666666666,-0.007014811,0.02119092735256925,0.02119092735256925,SH688303,大全能源,2026-03-13,0.007612901,0.007805167
131,SZ300033,0.0136362936764454,0.3333333333333333,0.028885841,-0.015249547693183506,0.015249547693183506,,,2026-03-13,5.590353,5.934425
