,instrument,avg_score,pos_ratio,real_label,error,abs_error,datetime,n1close,n2high
0,SH601872,0.3419211924948484,1.0,-0.024092019,0.366013211099127,0.366013211099127,2026-03-11,1.1934884,1.21598
1,SH600026,0.2398156466058032,1.0,-0.015985012,0.2558006586602466,0.2558006586602466,2026-03-11,4.085319,4.171079
2,SZ002709,0.2229281831539173,1.0,0.0028874874,0.22004069574241827,0.22004069574241827,2026-03-11,26.10205,27.374613
3,SZ300274,0.1952373150976962,1.0,0.013232112,0.18200520316684904,0.18200520316684904,2026-03-11,13.856412,14.568125
4,SH601018,0.1726155620571392,1.0,-0.02321726,0.19583282289469414,0.19583282289469414,2026-03-11,0.6619435,0.66038686
5,SH600115,0.1716186230421518,1.0,0.0015361309,0.17008249213700044,0.17008249213700044,2026-03-11,0.5676012,0.574179
6,SH603195,0.1701798232813117,1.0,0.005240202,0.16493962133123846,0.16493962133123846,2026-03-11,0.069384284,0.07022289
7,SH600029,0.1651714201839852,1.0,-0.0046468973,0.1698183174999642,0.1698183174999642,2026-03-11,1.2168696,1.2305946
8,SH600015,0.1644435361359271,1.0,0.016972423,0.14747111353613462,0.14747111353613462,2026-03-11,5.2818766,5.446153
9,SH601816,0.1409815637693962,1.0,0.001821518,0.13916004582506025,0.13916004582506025,2026-03-11,0.12919615,0.13017423
10,SH688009,0.1398857082688008,1.0,-0.015872955,0.15575866359106644,0.15575866359106644,2026-03-11,0.060934942,0.061250567
11,SH600010,0.1384683159371736,1.0,-0.027037919,0.16550623450483107,0.16550623450483107,2026-03-11,5.081836,5.168826
12,SH601818,0.1376648220056211,1.0,0.0,0.1376648220056211,0.1376648220056211,2026-03-11,1.067313,1.0769285
13,SZ300661,0.136493234731184,1.0,-0.027676761,0.1641699958815441,0.1641699958815441,2026-03-11,3.9083302,3.912486
14,SH601328,0.1355663970748974,1.0,0.0070308447,0.12853555238648187,0.12853555238648187,2026-03-11,0.27464348,0.2785042
15,SH600875,0.131451045869781,1.0,-0.05114007,0.18259111583132887,0.18259111583132887,2026-03-11,8.039865,8.069816
16,SZ002415,0.1277430279101429,1.0,0.0006314516,0.1271115763033924,0.1271115763033924,2026-03-11,2.697516,2.7059932
17,SH601669,0.1231875596332338,1.0,0.098976135,0.02421142437932755,0.02421142437932755,2026-03-11,0.42538166,0.467309
18,SH601658,0.1223614858603868,1.0,0.0043541193,0.11800736655954451,0.11800736655954451,2026-03-11,0.29810014,0.30187628
19,SH601808,0.120634019331691,1.0,-0.019004524,0.13963854308581086,0.13963854308581086,2026-03-11,0.017015433,0.01735941
20,SH600233,0.1197113918890345,1.0,0.0502342,0.06947719331878303,0.06947719331878303,2026-03-11,1.7615112,1.8678842
21,SZ300014,0.1151514917356193,1.0,-0.012592435,0.12774392661873696,0.12774392661873696,2026-03-11,12.459132,12.688149
22,SH600887,0.1148188641474472,1.0,0.0,0.1148188641474472,0.1148188641474472,2026-03-11,76.470184,77.12867
23,SZ000538,0.1094328425088947,1.0,0.0,0.1094328425088947,0.1094328425088947,2026-03-11,75.031265,75.40443
24,SZ002736,0.1080672464739368,1.0,-0.003109455,0.11117670158257938,0.11117670158257938,2026-03-11,0.29914203,0.30143404
25,SH600036,0.106510094212522,1.0,0.006599784,0.0999103103151221,0.0999103103151221,2026-03-11,14.60851,14.812433
26,SZ000333,0.1065036416637136,1.0,-0.006986439,0.11349008089177146,0.11349008089177146,2026-03-11,1.3800635,1.3811065
27,SH600176,0.1064275186258696,1.0,-0.015099764,0.12152728249610886,0.12152728249610886,2026-03-11,245.34181,248.11653
28,SZ000792,0.1063386653143904,1.0,0.035050392,0.0712882731635115,0.0712882731635115,2026-03-11,12.71516,13.593231
29,SH601939,0.1056314021702418,1.0,0.0057269335,0.09990446869093272,0.09990446869093272,2026-03-11,0.77641624,0.7844575
30,SH600941,0.1048398570291866,1.0,0.015072346,0.08976751129554403,0.08976751129554403,2026-03-11,0.042203482,0.0429637
31,SH600674,0.1043414055569574,1.0,-0.032622278,0.1369636832936212,0.1369636832936212,2026-03-11,72.56512,73.05529
32,SH600600,0.1025135923611692,1.0,0.0033160448,0.09919754755373512,0.09919754755373512,2026-03-11,2.7379637,2.7673838
